city,state,num_golf_courses,avg_rating,sum_ratings_count,avg_length_yards,state_golfable,score,rank
Altoona,Wisconsin,1,5.0,1,6574.0,0,0.43749999999999994,233
Sterling,Massachusetts,1,5.0,1,6666.0,0,0.43749999999999994,234
Towson,Maryland,1,5.0,1,6123.0,0,0.43749999999999994,235
Tolar,Texas,1,5.0,1,0.0,0,0.43749999999999994,236
Brooks,Maine,1,5.0,1,2885.0,0,0.43749999999999994,237
Colebrook,New Hampshire,1,5.0,1,,0,0.43749999999999994,238
Siasconset,Massachusetts,1,5.0,1,6623.0,0,0.43749999999999994,239
Six Mile,South Carolina,1,5.0,1,7100.0,0,0.43749999999999994,240
Buhl,Idaho,1,5.0,1,5905.0,0,0.43749999999999994,241
Buffalo Center,Iowa,1,5.0,1,3230.0,0,0.43749999999999994,242
Bristol,Indiana,1,5.0,1,6859.0,0,0.43749999999999994,243
Ft Mitchell,Kentucky,1,5.0,1,6307.0,0,0.43749999999999994,244
Batesville,Indiana,1,5.0,1,2789.0,0,0.43749999999999994,245
Bassett,Virginia,1,5.0,1,3089.0,0,0.43749999999999994,246
Marshalltown,Iowa,1,5.0,1,5627.0,0,0.43749999999999994,247
Baker,Montana,1,5.0,1,3330.0,0,0.43749999999999994,248
Rockwell,Iowa,1,5.0,1,2801.0,0,0.43749999999999994,249
Rockville Centre,New York,1,5.0,1,6257.0,0,0.43749999999999994,250
Franklinville,New York,1,5.0,1,3200.0,0,0.43749999999999994,251
Freehold,New Jersey,1,5.0,1,1000.0,0,0.43749999999999994,252
Pelham Manor,New York,1,5.0,1,6318.0,0,0.43749999999999994,253
Barling,Arkansas,1,5.0,1,3063.0,0,0.43749999999999994,254
Worthington,Ohio,1,5.0,1,,0,0.43749999999999994,255
Woodworth,Louisiana,1,5.0,1,6595.0,0,0.43749999999999994,256
Aledo,Illinois,1,5.0,1,6701.0,0,0.43749999999999994,257
Alcoa,Tennessee,1,5.0,1,6390.0,0,0.43749999999999994,258
Castine,Maine,1,5.0,1,2977.0,0,0.43749999999999994,259
Denmark,South Carolina,1,5.0,1,2921.0,0,0.43749999999999994,260
Wausa,Nebraska,1,5.0,1,3185.0,0,0.43749999999999994,261
Huntsville,Texas,1,5.0,1,,0,0.43749999999999994,262
Morrison,Colorado,1,5.0,1,6714.0,0,0.43749999999999994,263
Spencer,Iowa,1,5.0,1,6888.0,0,0.43749999999999994,264
Heber City,Utah,1,5.0,1,7653.0,0,0.43749999999999994,265
Hayward,Minnesota,1,5.0,1,0.0,0,0.43749999999999994,266
Hawesville,Kentucky,1,5.0,1,2788.0,0,0.43749999999999994,267
Moundsville,West Virginia,1,5.0,1,6317.0,0,0.43749999999999994,268
Huntingdon Valley,Pennsylvania,1,5.0,1,,0,0.43749999999999994,269
Waynesburg,Pennsylvania,1,5.0,1,6017.0,0,0.43749999999999994,270
Balsam Lake,Wisconsin,1,5.0,1,3136.0,0,0.43749999999999994,271
Roseland,New Jersey,1,5.0,1,,0,0.43749999999999994,272
Donalsonville,Georgia,1,5.0,1,6552.0,0,0.43749999999999994,273
Dixon,Missouri,1,5.0,1,2905.0,0,0.43749999999999994,274
Fulshear,Texas,1,5.0,1,,0,0.43749999999999994,275
Watertown,Minnesota,1,5.0,1,2821.0,0,0.43749999999999994,276
Waymart,Pennsylvania,1,5.0,1,2883.0,0,0.43749999999999994,277
Weems,Virginia,1,5.0,1,6586.0,0,0.43749999999999994,278
Marshall,Illinois,1,5.0,1,0.0,0,0.43749999999999994,279
Laurel Hill,Florida,1,5.0,1,7333.0,0,0.43749999999999994,280
Le Sueur,Minnesota,1,5.0,1,,0,0.43749999999999994,281
Balaton,Minnesota,1,5.0,1,2220.0,0,0.43749999999999994,282
Spring Lake,New Jersey,1,5.0,1,3695.0,0,0.43749999999999994,283
Hempstead,New York,1,5.0,1,6567.0,0,0.43749999999999994,284
Hebron,Kentucky,1,5.0,1,7103.0,0,0.43749999999999994,285
Springfield,South Dakota,1,5.0,1,3005.0,0,0.43749999999999994,286
Lakewood,Wisconsin,1,5.0,1,5763.0,0,0.43749999999999994,287
Mattoon,Illinois,1,5.0,1,6907.0,0,0.43749999999999994,288
Rumson,New Jersey,1,5.0,1,6617.0,0,0.43749999999999994,289
Galax,Virginia,1,5.0,1,6104.0,0,0.43749999999999994,290
Parshall,North Dakota,1,5.0,1,0.0,0,0.43749999999999994,291
Delhi,New York,1,5.0,1,6401.0,0,0.43749999999999994,292
Denville,New Jersey,1,5.0,1,6609.0,0,0.43749999999999994,293
Canyon Lake,Texas,1,5.0,1,,0,0.43749999999999994,294
Sumner,Mississippi,1,5.0,1,3163.0,0,0.43749999999999994,295
West Mifflin,Pennsylvania,1,5.0,1,6243.0,0,0.43749999999999994,296
Marblehead,Massachusetts,1,5.0,1,6500.0,0,0.43749999999999994,297
Perryton,Texas,1,5.0,1,6431.0,0,0.43749999999999994,298
Perrysburg,Ohio,1,5.0,1,,0,0.43749999999999994,299
Waterbury Center,Vermont,1,5.0,1,6788.0,0,0.43749999999999994,300
Lakeville,Ohio,1,5.0,1,3290.0,0,0.43749999999999994,301
Lakeside,Michigan,1,5.0,1,0.0,0,0.43749999999999994,302
Lakefield,Minnesota,1,5.0,1,5436.0,0,0.43749999999999994,303
Sag Harbor,New York,1,5.0,1,6866.0,0,0.43749999999999994,304
Garden Valley,Idaho,1,5.0,1,5930.0,0,0.43749999999999994,305
Garden City,New York,1,5.0,1,6882.0,0,0.43749999999999994,306
Beavercreek,Ohio,1,5.0,1,,0,0.43749999999999994,307
Douglas,Wyoming,1,5.0,1,6253.0,0,0.43749999999999994,308
Dorset,Vermont,1,5.0,1,5728.0,0,0.43749999999999994,309
Rockwood,Pennsylvania,1,5.0,1,3310.0,0,0.43749999999999994,310
Westwood,New Jersey,1,5.0,1,,0,0.43749999999999994,311
Westport,Massachusetts,1,5.0,1,0.0,0,0.43749999999999994,312
Dunseith,North Dakota,1,5.0,1,2432.0,0,0.43749999999999994,313
Fort Gratiot,Michigan,1,5.0,1,0.0,0,0.43749999999999994,314
Phillips,Nebraska,1,5.0,1,0.0,0,0.43749999999999994,315
Philipsburg,Pennsylvania,1,5.0,1,2773.0,0,0.43749999999999994,316
Choudrant,Louisiana,1,5.0,1,7100.0,0,0.43749999999999994,317
Camden,South Carolina,1,5.0,1,6215.0,0,0.43749999999999994,318
Hurricane,West Virginia,1,5.0,1,6734.0,0,0.43749999999999994,319
Lake Toxaway,North Carolina,1,5.0,1,6600.0,0,0.43749999999999994,320
Beallsville,Ohio,1,5.0,1,2895.0,0,0.43749999999999994,321
Bayonne,New Jersey,1,5.0,1,7106.0,0,0.43749999999999994,322
Demarest,New Jersey,1,5.0,1,6711.0,0,0.43749999999999994,323
Westfield Center,Ohio,1,5.0,1,,0,0.43749999999999994,324
Westfield,New Jersey,1,5.0,1,6709.0,0,0.43749999999999994,325
Manitowoc,Wisconsin,1,5.0,1,6137.0,0,0.43749999999999994,326
River Grove,Illinois,1,5.0,1,6757.0,0,0.43749999999999994,327
Pierz,Minnesota,1,5.0,1,3018.0,0,0.43749999999999994,328
Phoenix,New York,1,5.0,1,6803.0,0,0.43749999999999994,329
Phoenix,Maryland,1,5.0,1,6619.0,0,0.43749999999999994,330
Rock Valley,Iowa,1,5.0,1,3068.0,0,0.43749999999999994,331
Belden,Mississippi,1,5.0,1,6818.0,0,0.43749999999999994,332
Saint Clair,Michigan,1,5.0,1,0.0,0,0.43749999999999994,333
Saint Bonaventure,New York,1,5.0,1,2900.0,0,0.43749999999999994,334
Paducah,Kentucky,1,5.0,1,6581.0,0,0.43749999999999994,335
Saint James,New York,1,5.0,1,6531.0,0,0.43749999999999994,336
Bellevue,Iowa,1,5.0,1,3130.0,0,0.43749999999999994,337
Newport,New York,1,5.0,1,7039.0,0,0.43749999999999994,338
Newbury,New Hampshire,1,5.0,1,7000.0,0,0.43749999999999994,339
Ashfield,Massachusetts,1,5.0,1,0.0,0,0.43749999999999994,340
Armonk,New York,1,5.0,1,6697.0,0,0.43749999999999994,341
Fort Benton,Montana,1,5.0,1,3457.0,0,0.43749999999999994,342
Pikeville,Kentucky,1,5.0,1,2915.0,0,0.43749999999999994,343
Weston,Connecticut,1,5.0,1,6594.0,0,0.43749999999999994,344
Mount Vernon,Missouri,1,5.0,1,2918.0,0,0.43749999999999994,345
Mount Vernon,Kentucky,1,5.0,1,3228.0,0,0.43749999999999994,346
Hugo,Colorado,1,5.0,1,0.0,0,0.43749999999999994,347
Belle Plaine,Iowa,1,5.0,1,2857.0,0,0.43749999999999994,348
Decaturville,Tennessee,1,5.0,1,0.0,0,0.43749999999999994,349
Gill,Massachusetts,1,5.0,1,0.0,0,0.43749999999999994,350
Oyster Bay,New York,1,5.0,1,6595.0,0,0.43749999999999994,351
Salamanca,New York,1,5.0,1,6132.0,0,0.43749999999999994,352
Belmont,Ohio,1,5.0,1,5884.0,0,0.43749999999999994,353
Belmont,Michigan,1,5.0,1,6838.0,0,0.43749999999999994,354
West Olive,Michigan,1,5.0,1,0.0,0,0.43749999999999994,355
La Canada Flintridge,California,1,5.0,1,5783.0,0,0.43749999999999994,356
Kulm,North Dakota,1,5.0,1,0.0,0,0.43749999999999994,357
